codigo_municipio_ibge,municipio,idhm
1400506,SÃO JOÃO DA BALIZA,0.655
1400605,SÃO LUIZ,0.649
1400704,UIRAMUTÃ,0.453
1500107,ABAETETUBA,0.628
1500131,ABEL FIGUEIREDO,0.622
1500206,ACARÁ,0.506
1500305,AFUÁ,0.489
1500347,ÁGUA AZUL DO NORTE,0.564
1500404,ALENQUER,0.564
1500503,ALMEIRIM,0.642
1500602,ALTAMIRA,0.665
1500701,ANAJÁS,0.484
1500800,ANANINDEUA,0.718
1500859,ANAPU,0.548
1500909,AUGUSTO CORRÊA,0.52
1500958,AURORA DO PARÁ,0.519
1501006,AVEIRO,0.541
1501105,BAGRE,0.471
1501204,BAIÃO,0.578
1501253,BANNACH,0.594
1501303,BARCARENA,0.662
1501402,BELÉM,0.746
1501451,BELTERRA,0.588
1501501,BENEVIDES,0.665
1501576,BOM JESUS DO TOCANTINS,0.589
1501600,BONITO,0.546
1501709,BRAGANÇA,0.6
1501725,BRASIL NOVO,0.613
1501758,BREJO GRANDE DO ARAGUAIA,0.591
1501782,BREU BRANCO,0.568
1501808,BREVES,0.503
1501907,BUJARU,0.552
1501956,CACHOEIRA DO PIRIÁ,0.473
1502004,CACHOEIRA DO ARARI,0.546
1502103,CAMETÁ,0.577
1502152,CANAÃ DOS CARAJÁS,0.673
1502202,CAPANEMA,0.655
1502301,CAPITÃO POÇO,0.548
1502400,CASTANHAL,0.673
1502509,CHAVES,0.453
1502608,COLARES,0.602
1502707,CONCEIÇÃO DO ARAGUAIA,0.64
1502756,CONCÓRDIA DO PARÁ,0.566
1502764,CUMARU DO NORTE,0.55
1502772,CURIONÓPOLIS,0.636
1502806,CURRALINHO,0.502
1502855,CURUÁ,0.578
1502905,CURUÇÁ,0.582
1502939,DOM ELISEU,0.615
1502954,ELDORADO DOS CARAJÁS,0.56
1503002,FARO,0.563
1503044,FLORESTA DO ARAGUAIA,0.583
1503077,GARRAFÃO DO NORTE,0.526
1503093,GOIANÉSIA DO PARÁ,0.56
1503101,GURUPÁ,0.509
1503200,IGARAPÉ-AÇU,0.595
1503309,IGARAPÉ-MIRI,0.547
1503408,INHANGAPI,0.572
1503457,IPIXUNA DO PARÁ,0.489
1503507,IRITUIA,0.559
1503606,ITAITUBA,0.64
1503705,ITUPIRANGA,0.528
1503754,JACAREACANGA,0.505
1503804,JACUNDÁ,0.622
1503903,JURUTI,0.592
1504000,LIMOEIRO DO AJURU,0.541
1504059,MÃE DO RIO,0.599
1504109,MAGALHÃES BARATA,0.597
1504208,MARABÁ,0.668
1504307,MARACANÃ,0.57
1504406,MARAPANIM,0.609
1504422,MARITUBA,0.676
1504455,MEDICILÂNDIA,0.582
1504505,MELGAÇO,0.418
1504604,MOCAJUBA,0.575
1504703,MOJU,0.547
1504802,MONTE ALEGRE,0.589
1504901,MUANÁ,0.547
1504950,NOVA ESPERANÇA DO PIRIÁ,0.502
1504976,NOVA IPIXUNA,0.581
1505007,NOVA TIMBOTEUA,0.609
1505031,NOVO PROGRESSO,0.673
1505064,NOVO REPARTIMENTO,0.537
1505106,ÓBIDOS,0.594
1505205,OEIRAS DO PARÁ,0.507
1505304,ORIXIMINÁ,0.623
1505403,OURÉM,0.568
1505437,OURILÂNDIA DO NORTE,0.624
1505486,PACAJÁ,0.515
1505494,PALESTINA DO PARÁ,0.589
1505502,PARAGOMINAS,0.645
1505536,PARAUAPEBAS,0.715
1505551,PAU D'ARCO,0.574
1505601,PEIXE-BOI,0.581
1505635,PIÇARRA,0.563
1505650,PLACAS,0.552
1505700,PONTA DE PEDRAS,0.562
1505809,PORTEL,0.483
1505908,PORTO DE MOZ,0.503
1506005,PRAINHA,0.523
1506104,PRIMAVERA,0.577
1506112,QUATIPURU,0.543
1506138,REDENÇÃO,0.672
1506161,RIO MARIA,0.638
1506187,RONDON DO PARÁ,0.602
1506195,RURÓPOLIS,0.548
1506203,SALINÓPOLIS,0.647
1506302,SALVATERRA,0.608
1506351,SANTA BÁRBARA DO PARÁ,0.627
1506401,SANTA CRUZ DO ARARI,0.557
1506500,SANTA ISABEL DO PARÁ,0.659
1506559,SANTA LUZIA DO PARÁ,0.546
1506583,SANTA MARIA DAS BARREIRAS,0.544
1506609,SANTA MARIA DO PARÁ,0.598
1506708,SANTANA DO ARAGUAIA,0.602
1506807,SANTARÉM,0.691
1506906,SANTARÉM NOVO,0.587
1507003,SANTO ANTÔNIO DO TAUÁ,0.632
1507102,SÃO CAETANO DE ODIVELAS,0.585
1507151,SÃO DOMINGOS DO ARAGUAIA,0.594
1507201,SÃO DOMINGOS DO CAPIM,0.532
1507300,SÃO FÉLIX DO XINGU,0.594
1507409,SÃO FRANCISCO DO PARÁ,0.608
1507458,SÃO GERALDO DO ARAGUAIA,0.595
1507466,SÃO JOÃO DA PONTA,0.583
1507474,SÃO JOÃO DE PIRABAS,0.539
1507508,SÃO JOÃO DO ARAGUAIA,0.55
1507607,SÃO MIGUEL DO GUAMÁ,0.591
1507706,SÃO SEBASTIÃO DA BOA VISTA,0.558
1507755,SAPUCAIA,0.59
1507805,SENADOR JOSÉ PORFÍRIO,0.514
1507904,SOURE,0.615
1507953,TAILÂNDIA,0.588
1507961,TERRA ALTA,0.605
1507979,TERRA SANTA,0.635
1508001,TOMÉ-AÇU,0.586
1508035,TRACUATEUA,0.531
1508050,TRAIRÃO,0.562
1508084,TUCUMÃ,0.659
1508100,TUCURUÍ,0.666
1508126,ULIANÓPOLIS,0.604
1508159,URUARÁ,0.589
1508209,VIGIA,0.617
1508308,VISEU,0.515
1508357,VITÓRIA DO XINGU,0.596
1508407,XINGUARA,0.646
1600055,SERRA DO NAVIO,0.709
1600105,AMAPÁ,0.642
1600154,PEDRA BRANCA DO AMAPARI,0.626
1600204,CALÇOENE,0.643
1600212,CUTIAS,0.628
1600238,FERREIRA GOMES,0.656
1600253,ITAUBAL,0.576
1600279,LARANJAL DO JARI,0.665
1600303,MACAPÁ,0.733
1600402,MAZAGÃO,0.592
1600501,OIAPOQUE,0.658
1600535,PORTO GRANDE,0.64
1600550,PRACUÚBA,0.614
1600600,SANTANA,0.692
1600709,TARTARUGALZINHO,0.592
1600808,VITÓRIA DO JARI,0.619
1700251,ABREULÂNDIA,0.665
1700301,AGUIARNÓPOLIS,0.657
1700350,ALIANÇA DO TOCANTINS,0.663
1700400,ALMAS,0.636
1700707,ALVORADA,0.708
1701002,ANANÁS,0.671
1701051,ANGICO,0.648
1701101,APARECIDA DO RIO NEGRO,0.651
1701309,ARAGOMINAS,0.593
1701903,ARAGUACEMA,0.639
1702000,ARAGUAÇU,0.675
1702109,ARAGUAÍNA,0.752
1702158,ARAGUANÃ,0.604
1702208,ARAGUATINS,0.631
1702307,ARAPOEMA,0.68
1702406,ARRAIAS,0.651
1702554,AUGUSTINÓPOLIS,0.67
1702703,AURORA DO TOCANTINS,0.677
1702901,AXIXÁ DO TOCANTINS,0.627
1703008,BABAÇULÂNDIA,0.642
1703057,BANDEIRANTES DO TOCANTINS,0.638
1703073,BARRA DO OURO,0.603
1703107,BARROLÂNDIA,0.642
1703206,BERNARDO SAYÃO,0.638
